matricule,nom,prenom,genre,classe,niveau,flux
"EL0040","KONÉ","Moussa","M","6e-1","6e","Matin"
"EL0041","CISSÉ","Prisca","F","6e-1","6e","Matin"
"EL0042","ADJÉ","Aboubacar","M","6e-1","6e","Matin"
"EL0043","KOFFI","Aya","F","6e-1","6e","Matin"
"EL0044","BROU","Cédric","M","6e-1","6e","Matin"
"EL0045","ZADI","Aïcha","F","6e-1","6e","Matin"
"EL0046","GNAGNE","Mireille","F","6e-1","6e","Matin"
"EL0047","ZADI","Olivier","M","6e-1","6e","Matin"
"EL0048","COULIBALY","Yannick","M","6e-1","6e","Matin"
"EL0049","ZADI","Olivier","M","6e-1","6e","Matin"
"EL0050","KOUAMÉ","Franck","M","6e-1","6e","Matin"
"EL0051","KOUAMÉ","Mireille","F","6e-1","6e","Matin"
"EL0052","KOUAMÉ","Carine","F","6e-1","6e","Matin"
"EL0053","DIABATÉ","Franck","M","6e-1","6e","Matin"
"EL0054","TRAORÉ","Affoué","F","6e-1","6e","Matin"
"EL0055","KONÉ","Yannick","M","6e-1","6e","Matin"
"EL0056","ZADI","Moussa","M","6e-1","6e","Matin"
"EL0057","ABLÉ","Thierry","M","6e-1","6e","Matin"
"EL0058","BAMBA","Olivier","M","6e-1","6e","Matin"
"EL0059","AKA","Aboubacar","M","6e-1","6e","Matin"
"EL0060","YAO","Arnaud","M","6e-2","6e","Matin"
"EL0061","DIABATÉ","Serge","M","6e-2","6e","Matin"
"EL0062","DOUMBIA","Nadège","F","6e-2","6e","Matin"
"EL0063","ABLÉ","Olivier","M","6e-2","6e","Matin"
"EL0064","GUÉI","Aïcha","F","6e-2","6e","Matin"
"EL0065","AKA","Paul","M","6e-2","6e","Matin"
"EL0066","ASSI","Thierry","M","6e-2","6e","Matin"
"EL0067","TRAORÉ","Franck","M","6e-2","6e","Matin"
"EL0068","BROU","Thierry","M","6e-2","6e","Matin"
"EL0069","YAO","Rachelle","F","6e-2","6e","Matin"
"EL0070","GNAGNE","Adama","M","6e-2","6e","Matin"
"EL0071","DJÉ","Nadège","F","6e-2","6e","Matin"
"EL0072","DIABATÉ","Mireille","F","6e-2","6e","Matin"
"EL0073","YAO","Aïcha","F","6e-2","6e","Matin"
"EL0074","DIABATÉ","Roland","M","6e-2","6e","Matin"
"EL0075","CISSÉ","Affoué","F","6e-2","6e","Matin"
"EL0076","GNAGNE","Paul","M","6e-2","6e","Matin"
"EL0077","ABLÉ","Awa","F","6e-2","6e","Matin"
"EL0078","DOUMBIA","Daniel","M","6e-2","6e","Matin"
"EL0079","OUATTARA","Paul","M","6e-2","6e","Matin"
"EL0080","KOUASSI","Estelle","F","6e-2","6e","Matin"
"EL0081","YAO","Olivier","M","6e-2","6e","Matin"
"EL0082","BAMBA","Affoué","F","6e-2","6e","Matin"
"EL0083","BAMBA","Sandrine","F","6e-2","6e","Matin"
"EL0084","ABLÉ","Thierry","M","6e-2","6e","Matin"
"EL0085","DIALLO","Yao","M","6e-2","6e","Matin"
"EL0086","BAKAYOKO","Paul","M","6e-2","6e","Matin"
"EL0087","DOUMBIA","Prisca","F","6e-2","6e","Matin"
"EL0088","DIALLO","Koffi","M","6e-2","6e","Matin"
"EL0089","BROU","Roland","M","6e-2","6e","Matin"
"EL0090","TANOH","Mireille","F","6e-2","6e","Matin"
"EL0091","DJÉ","Ibrahim","M","6e-2","6e","Matin"
"EL0092","ABLÉ","Rachelle","F","6e-2","6e","Matin"
"EL0093","DJÉ","Arnaud","M","6e-2","6e","Matin"
"EL0094","BROU","Grace","F","6e-2","6e","Matin"
"EL0095","TOURÉ","Aya","F","6e-2","6e","Matin"
"EL0096","OUATTARA","Marie","F","6e-2","6e","Matin"
"EL0097","TANOH","Aïcha","F","6e-2","6e","Matin"
"EL0098","KOUAMÉ","Arnaud","M","6e-2","6e","Matin"
"EL0099","TANOH","Sylvie","F","6e-2","6e","Matin"
"EL0100","KONÉ","Awa","F","6e-2","6e","Matin"
"EL0101","DIABATÉ","Olivier","M","6e-2","6e","Matin"
"EL0102","KASSI","Aya","F","6e-2","6e","Matin"
"EL0103","COULIBALY","Aïcha","F","6e-2","6e","Matin"
"EL0104","DOUMBIA","Aboubacar","M","6e-2","6e","Matin"
"EL0105","TRAORÉ","Fatou","F","6e-2","6e","Matin"
"EL0106","KOFFI","Serge","M","6e-2","6e","Matin"
"EL0107","KOUASSI","Aboubacar","M","6e-2","6e","Matin"
"EL0108","BAMBA","Grace","F","6e-2","6e","Matin"
"EL0109","OUATTARA","Grace","F","6e-2","6e","Matin"
"EL0110","DIALLO","Marc","M","6e-2","6e","Matin"
"EL0111","FOFANA","Awa","F","6e-2","6e","Matin"
"EL0112","SANGARÉ","Estelle","F","6e-2","6e","Matin"
"EL0113","KONÉ","Mireille","F","6e-2","6e","Matin"
"EL0114","DJÉ","Mireille","F","6e-2","6e","Matin"
"EL0115","N'GUESSAN","Cédric","M","6e-2","6e","Matin"
"EL0116","BROU","Olivier","M","6e-2","6e","Matin"
"EL0117","ADJÉ","Franck","M","6e-2","6e","Matin"
"EL0118","KASSI","Jean","M","6e-2","6e","Matin"
"EL0119","DJÉ","Sandrine","F","6e-3","6e","Matin"
"EL0120","KASSI","Carine","F","6e-3","6e","Matin"
"EL0121","DOUMBIA","Koffi","M","6e-3","6e","Matin"
"EL0122","BROU","Moussa","M","6e-3","6e","Matin"
"EL0123","KOFFI","Sandrine","F","6e-3","6e","Matin"
"EL0124","FOFANA","Affoué","F","6e-3","6e","Matin"
"EL0125","DOUMBIA","Olivier","M","6e-3","6e","Matin"
"EL0126","DIABATÉ","Marie","F","6e-3","6e","Matin"
"EL0127","BAMBA","Hélène","F","6e-3","6e","Matin"
"EL0128","DIALLO","Nadège","F","6e-3","6e","Matin"
"EL0129","YAO","Ibrahim","M","6e-3","6e","Matin"
"EL0130","BROU","Cédric","M","6e-3","6e","Matin"
"EL0131","BROU","Fatou","F","6e-3","6e","Matin"
"EL0132","COULIBALY","Arnaud","M","6e-3","6e","Matin"
"EL0133","BROU","Prisca","F","6e-3","6e","Matin"
"EL0134","ADJÉ","Adama","M","6e-3","6e","Matin"
"EL0135","ABLÉ","Sylvie","F","6e-3","6e","Matin"
"EL0136","KOUAMÉ","Jean","M","6e-3","6e","Matin"
"EL0137","FOFANA","Yannick","M","6e-3","6e","Matin"
"EL0138","KASSI","Daniel","M","6e-3","6e","Matin"
"EL0139","ABLÉ","Affoué","F","6e-3","6e","Matin"
"EL0140","DIABATÉ","Fatou","F","6e-3","6e","Matin"
"EL0141","COULIBALY","Aya","F","6e-3","6e","Matin"
"EL0142","AKA","Aïcha","F","6e-3","6e","Matin"
"EL0143","BAKAYOKO","Franck","M","6e-3","6e","Matin"
"EL0144","BAKAYOKO","Aïcha","F","6e-3","6e","Matin"
"EL0145","KOFFI","Affoué","F","6e-3","6e","Matin"
"EL0146","SANGARÉ","Joëlle","F","6e-3","6e","Matin"
"EL0147","AKA","Carine","F","6e-3","6e","Matin"
"EL0148","KOUASSI","Sandrine","F","6e-3","6e","Matin"
"EL0149","ASSI","Ibrahim","M","6e-3","6e","Matin"
"EL0150","BROU","Nadège","F","6e-3","6e","Matin"
"EL0151","KOFFI","Léa","F","6e-3","6e","Matin"
"EL0152","FOFANA","Grace","F","6e-3","6e","Matin"
"EL0153","AKA","Jean","M","6e-3","6e","Matin"
"EL0154","DJÉ","Prisca","F","6e-3","6e","Matin"
"EL0155","DIABATÉ","Mariam","F","6e-3","6e","Matin"
"EL0156","OUATTARA","Estelle","F","6e-3","6e","Matin"
"EL0157","TANOH","Grace","F","6e-3","6e","Matin"
"EL0158","GUÉI","Hélène","F","6e-3","6e","Matin"
"EL0159","DIABATÉ","Jean","M","6e-3","6e","Matin"
"EL0160","ABLÉ","Christelle","F","6e-3","6e","Matin"
"EL0161","SANGARÉ","Yannick","M","6e-3","6e","Matin"
"EL0162","DOUMBIA","Thierry","M","6e-3","6e","Matin"
"EL0163","SANGARÉ","Roland","M","6e-3","6e","Matin"
"EL0164","ASSI","Yao","M","6e-3","6e","Matin"
"EL0165","DIALLO","Aïcha","F","6e-3","6e","Matin"
"EL0166","DJÉ","Christelle","F","6e-3","6e","Matin"
"EL0167","SANGARÉ","Rachelle","F","6e-3","6e","Matin"
"EL0168","BAMBA","Aboubacar","M","6e-3","6e","Matin"
"EL0169","TANOH","Joëlle","F","6e-3","6e","Matin"
"EL0170","ASSI","Franck","M","6e-3","6e","Matin"
"EL0171","YAO","Hélène","F","6e-3","6e","Matin"
"EL0172","DIABATÉ","Hélène","F","6e-3","6e","Matin"
"EL0173","OUATTARA","Nadège","F","6e-3","6e","Matin"
"EL0174","GUÉI","Joëlle","F","6e-3","6e","Matin"
"EL0175","TOURÉ","Paul","M","6e-3","6e","Matin"
"EL0176","TRAORÉ","Hélène","F","6e-3","6e","Matin"
"EL0177","KOFFI","Aïcha","F","6e-3","6e","Matin"
"EL0178","DIABATÉ","Yao","M","6e-4","6e","Matin"
"EL0179","TANOH","Marc","M","6e-4","6e","Matin"
"EL0180","GNAGNE","Sylvie","F","6e-4","6e","Matin"
"EL0181","GUÉI","Awa","F","6e-4","6e","Matin"
"EL0182","ABLÉ","Franck","M","6e-4","6e","Matin"
"EL0183","KONÉ","Awa","F","6e-4","6e","Matin"
"EL0184","AKA","Prisca","F","6e-4","6e","Matin"
"EL0185","KONÉ","Prisca","F","6e-4","6e","Matin"
"EL0186","BROU","Hélène","F","6e-4","6e","Matin"
"EL0187","GNAGNE","Grace","F","6e-4","6e","Matin"
"EL0188","OUATTARA","Aya","F","6e-4","6e","Matin"
"EL0189","TRAORÉ","Yannick","M","6e-4","6e","Matin"
"EL0190","YAO","Prisca","F","6e-4","6e","Matin"
"EL0191","KOUASSI","Thierry","M","6e-4","6e","Matin"
"EL0192","COULIBALY","Adama","M","6e-4","6e","Matin"
"EL0193","TOURÉ","Ibrahim","M","6e-4","6e","Matin"
"EL0194","DJÉ","Yannick","M","6e-4","6e","Matin"
"EL0195","DIABATÉ","Olivier","M","6e-4","6e","Matin"
"EL0196","GUÉI","Koffi","M","6e-4","6e","Matin"
"EL0197","KASSI","Estelle","F","6e-4","6e","Matin"
"EL0198","ZADI","Awa","F","6e-4","6e","Matin"
"EL0199","KONÉ","Aboubacar","M","6e-4","6e","Matin"
"EL0200","KOUAMÉ","Hervé","M","6e-4","6e","Matin"
"EL0201","KOUASSI","Mireille","F","6e-4","6e","Matin"
"EL0202","DIALLO","Mariam","F","6e-4","6e","Matin"
"EL0203","ASSI","Moussa","M","6e-4","6e","Matin"
"EL0204","DOUMBIA","Joëlle","F","6e-4","6e","Matin"
"EL0205","KOFFI","Guy","M","6e-4","6e","Matin"
"EL0206","COULIBALY","Léa","F","6e-4","6e","Matin"
"EL0207","AKA","Léa","F","6e-4","6e","Matin"
"EL0208","TRAORÉ","Joëlle","F","6e-4","6e","Matin"
"EL0209","BAMBA","Mireille","F","6e-4","6e","Matin"
"EL0210","TANOH","Aya","F","6e-4","6e","Matin"
"EL0211","ABLÉ","Cédric","M","6e-4","6e","Matin"
"EL0212","ZADI","Olivier","M","6e-4","6e","Matin"
"EL0213","BAKAYOKO","Paul","M","6e-4","6e","Matin"
"EL0214","YAO","Prisca","F","6e-4","6e","Matin"
"EL0215","OUATTARA","Hervé","M","6e-4","6e","Matin"
"EL0216","BROU","Arnaud","M","6e-4","6e","Matin"
"EL0217","DOUMBIA","Marc","M","6e-4","6e","Matin"
"EL0218","KOUAMÉ","Marie","F","6e-4","6e","Matin"
"EL0219","SANGARÉ","Yao","M","6e-4","6e","Matin"
"EL0220","DIABATÉ","Paul","M","6e-4","6e","Matin"
"EL0221","KOFFI","Mireille","F","6e-4","6e","Matin"
"EL0222","YAO","Moussa","M","6e-4","6e","Matin"
"EL0223","KONÉ","Guy","M","6e-4","6e","Matin"
"EL0224","CISSÉ","Mariam","F","6e-4","6e","Matin"
"EL0225","ASSI","Mariam","F","6e-4","6e","Matin"
"EL0226","GNAGNE","Aya","F","6e-4","6e","Matin"
"EL0227","DIALLO","Joëlle","F","6e-4","6e","Matin"
"EL0228","KOFFI","Marc","M","6e-4","6e","Matin"
"EL0229","CISSÉ","Thierry","M","6e-4","6e","Matin"
"EL0230","DJÉ","Adama","M","6e-4","6e","Matin"
"EL0231","BAKAYOKO","Aya","F","6e-4","6e","Matin"
"EL0232","SANGARÉ","Yannick","M","6e-4","6e","Matin"
"EL0233","BAMBA","Nadège","F","6e-4","6e","Matin"
"EL0234","KOUAMÉ","Sylvie","F","6e-4","6e","Matin"
"EL0235","TANOH","Christelle","F","6e-4","6e","Matin"
"EL0236","YAO","Estelle","F","6e-4","6e","Matin"
"EL0237","KOFFI","Mireille","F","6e-5","6e","Matin"
"EL0238","CISSÉ","Mireille","F","6e-5","6e","Matin"
"EL0239","TANOH","Aboubacar","M","6e-5","6e","Matin"
"EL0240","TOURÉ","Franck","M","6e-5","6e","Matin"
"EL0241","DOUMBIA","Arnaud","M","6e-5","6e","Matin"
"EL0242","ABLÉ","Yao","M","6e-5","6e","Matin"
"EL0243","YAO","Fatou","F","6e-5","6e","Matin"
"EL0244","TANOH","Hervé","M","6e-5","6e","Matin"
"EL0245","KONÉ","Carine","F","6e-5","6e","Matin"
"EL0246","OUATTARA","Prisca","F","6e-5","6e","Matin"
"EL0247","SANGARÉ","Daniel","M","6e-5","6e","Matin"
"EL0248","TRAORÉ","Mireille","F","6e-5","6e","Matin"
"EL0249","ZADI","Hélène","F","6e-5","6e","Matin"
"EL0250","BAMBA","Marie","F","6e-5","6e","Matin"
"EL0251","DJÉ","Paul","M","6e-5","6e","Matin"
"EL0252","ADJÉ","Joëlle","F","6e-5","6e","Matin"
"EL0253","BAKAYOKO","Koffi","M","6e-5","6e","Matin"
"EL0254","KOUAMÉ","Franck","M","6e-5","6e","Matin"
"EL0255","BAKAYOKO","Olivier","M","6e-5","6e","Matin"
"EL0256","N'GUESSAN","Serge","M","6e-5","6e","Matin"
"EL0257","KOFFI","Aïcha","F","6e-5","6e","Matin"
"EL0258","DJÉ","Affoué","F","6e-5","6e","Matin"
"EL0259","ABLÉ","Nadège","F","6e-5","6e","Matin"
"EL0260","CISSÉ","Christelle","F","6e-5","6e","Matin"
"EL0261","KONÉ","Roland","M","6e-5","6e","Matin"
"EL0262","OUATTARA","Grace","F","6e-5","6e","Matin"
"EL0263","N'GUESSAN","Ibrahim","M","6e-5","6e","Matin"
"EL0264","ZADI","Moussa","M","6e-5","6e","Matin"
"EL0265","AKA","Grace","F","6e-5","6e","Matin"
"EL0266","BAKAYOKO","Mariam","F","6e-5","6e","Matin"
"EL0267","YAO","Yao","M","6e-5","6e","Matin"
"EL0268","ZADI","Thierry","M","6e-5","6e","Matin"
"EL0269","DOUMBIA","Sandrine","F","6e-5","6e","Matin"
"EL0270","COULIBALY","Estelle","F","6e-5","6e","Matin"
"EL0271","TRAORÉ","Marie","F","6e-5","6e","Matin"
"EL0272","FOFANA","Franck","M","6e-5","6e","Matin"
"EL0273","TRAORÉ","Serge","M","6e-5","6e","Matin"
"EL0274","DOUMBIA","Aïcha","F","6e-5","6e","Matin"
"EL0275","FOFANA","Cédric","M","6e-5","6e","Matin"
"EL0276","COULIBALY","Thierry","M","6e-5","6e","Matin"
"EL0277","YAO","Mariam","F","6e-5","6e","Matin"
"EL0278","FOFANA","Roland","M","6e-5","6e","Matin"
"EL0279","DOUMBIA","Moussa","M","6e-5","6e","Matin"
"EL0280","SANGARÉ","Roland","M","6e-5","6e","Matin"
"EL0281","ABLÉ","Guy","M","6e-5","6e","Matin"
"EL0282","DJÉ","Grace","F","6e-5","6e","Matin"
"EL0283","KOFFI","Guy","M","6e-5","6e","Matin"
"EL0284","TRAORÉ","Moussa","M","6e-5","6e","Matin"
"EL0285","ASSI","Thierry","M","6e-5","6e","Matin"
"EL0286","ABLÉ","Christelle","F","6e-5","6e","Matin"
"EL0287","N'GUESSAN","Carine","F","6e-5","6e","Matin"
"EL0288","ADJÉ","Adama","M","6e-5","6e","Matin"
"EL0289","AKA","Mariam","F","6e-5","6e","Matin"
"EL0290","ZADI","Hervé","M","6e-5","6e","Matin"
"EL0291","COULIBALY","Thierry","M","6e-5","6e","Matin"
"EL0292","FOFANA","Estelle","F","6e-5","6e","Matin"
"EL0293","BAMBA","Sylvie","F","6e-5","6e","Matin"
"EL0294","GNAGNE","Carine","F","6e-5","6e","Matin"
"EL0295","KONÉ","Daniel","M","6e-6","6e","Matin"
"EL0296","BAKAYOKO","Estelle","F","6e-6","6e","Matin"
"EL0297","YAO","Guy","M","6e-6","6e","Matin"
"EL0298","GNAGNE","Fatou","F","6e-6","6e","Matin"
"EL0299","CISSÉ","Christelle","F","6e-6","6e","Matin"
"EL0300","BAMBA","Olivier","M","6e-6","6e","Matin"
"EL0301","FOFANA","Awa","F","6e-6","6e","Matin"
"EL0302","ABLÉ","Yao","M","6e-6","6e","Matin"
"EL0303","DJÉ","Fatou","F","6e-6","6e","Matin"
"EL0304","AKA","Aya","F","6e-6","6e","Matin"
"EL0305","AKA","Mireille","F","6e-6","6e","Matin"
"EL0306","ADJÉ","Christelle","F","6e-6","6e","Matin"
"EL0307","KOUAMÉ","Joëlle","F","6e-6","6e","Matin"
"EL0308","GUÉI","Grace","F","6e-6","6e","Matin"
"EL0309","KOUAMÉ","Guy","M","6e-6","6e","Matin"
"EL0310","ZADI","Sylvie","F","6e-6","6e","Matin"
"EL0311","ABLÉ","Aya","F","6e-6","6e","Matin"
"EL0312","N'GUESSAN","Affoué","F","6e-6","6e","Matin"
"EL0313","TANOH","Christelle","F","6e-6","6e","Matin"
"EL0314","KONÉ","Yannick","M","6e-6","6e","Matin"
"EL0315","OUATTARA","Affoué","F","6e-6","6e","Matin"
"EL0316","YAO","Aïcha","F","6e-6","6e","Matin"
"EL0317","BAKAYOKO","Aya","F","6e-6","6e","Matin"
"EL0318","KONÉ","Mariam","F","6e-6","6e","Matin"
"EL0319","KOUAMÉ","Aya","F","6e-6","6e","Matin"
"EL0320","ADJÉ","Ibrahim","M","6e-6","6e","Matin"
"EL0321","KOUAMÉ","Ibrahim","M","6e-6","6e","Matin"
"EL0322","ASSI","Mireille","F","6e-6","6e","Matin"
"EL0323","KOUASSI","Joëlle","F","6e-6","6e","Matin"
"EL0324","DOUMBIA","Koffi","M","6e-6","6e","Matin"
"EL0325","DIABATÉ","Hervé","M","6e-6","6e","Matin"
"EL0326","KOUASSI","Guy","M","6e-6","6e","Matin"
"EL0327","GNAGNE","Paul","M","6e-6","6e","Matin"
"EL0328","BAKAYOKO","Affoué","F","6e-6","6e","Matin"
"EL0329","SANGARÉ","Affoué","F","6e-6","6e","Matin"
"EL0330","KASSI","Awa","F","6e-6","6e","Matin"
"EL0331","TOURÉ","Aya","F","6e-6","6e","Matin"
"EL0332","FOFANA","Arnaud","M","6e-6","6e","Matin"
"EL0333","DOUMBIA","Mireille","F","6e-6","6e","Matin"
"EL0334","FOFANA","Koffi","M","6e-6","6e","Matin"
"EL0335","YAO","Cédric","M","6e-6","6e","Matin"
"EL0336","DJÉ","Mariam","F","6e-6","6e","Matin"
"EL0337","KOUAMÉ","Cédric","M","6e-6","6e","Matin"
"EL0338","DJÉ","Fatou","F","6e-6","6e","Matin"
"EL0339","SANGARÉ","Carine","F","6e-6","6e","Matin"
"EL0340","DIABATÉ","Franck","M","6e-6","6e","Matin"
"EL0341","TRAORÉ","Serge","M","6e-6","6e","Matin"
"EL0342","GUÉI","Carine","F","6e-6","6e","Matin"
"EL0343","CISSÉ","Prisca","F","6e-6","6e","Matin"
"EL0344","DOUMBIA","Joëlle","F","6e-6","6e","Matin"
"EL0345","TOURÉ","Carine","F","6e-6","6e","Matin"
"EL0346","DOUMBIA","Mariam","F","6e-6","6e","Matin"
"EL0347","SANGARÉ","Mariam","F","6e-6","6e","Matin"
"EL0348","GNAGNE","Mariam","F","6e-6","6e","Matin"
"EL0349","DIALLO","Affoué","F","6e-6","6e","Matin"
"EL0350","DOUMBIA","Sandrine","F","6e-6","6e","Matin"
"EL0351","TOURÉ","Aïcha","F","6e-6","6e","Matin"
"EL0352","N'GUESSAN","Sylvie","F","6e-6","6e","Matin"
"EL0353","KONÉ","Fatou","F","6e-7","6e","Matin"
"EL0354","TOURÉ","Daniel","M","6e-7","6e","Matin"
"EL0355","SANGARÉ","Marie","F","6e-7","6e","Matin"
"EL0356","CISSÉ","Christelle","F","6e-7","6e","Matin"
"EL0357","TRAORÉ","Yannick","M","6e-7","6e","Matin"
"EL0358","GUÉI","Thierry","M","6e-7","6e","Matin"
"EL0359","N'GUESSAN","Hélène","F","6e-7","6e","Matin"
"EL0360","TOURÉ","Franck","M","6e-7","6e","Matin"
"EL0361","TRAORÉ","Prisca","F","6e-7","6e","Matin"
"EL0362","KOUASSI","Hervé","M","6e-7","6e","Matin"
"EL0363","DJÉ","Rachelle","F","6e-7","6e","Matin"
"EL0364","KOUAMÉ","Aya","F","6e-7","6e","Matin"
"EL0365","KOUAMÉ","Hélène","F","6e-7","6e","Matin"
"EL0366","TRAORÉ","Marc","M","6e-7","6e","Matin"
"EL0367","BAMBA","Fatou","F","6e-7","6e","Matin"
"EL0368","KOFFI","Joëlle","F","6e-7","6e","Matin"
"EL0369","N'GUESSAN","Moussa","M","6e-7","6e","Matin"
"EL0370","AKA","Joëlle","F","6e-7","6e","Matin"
"EL0371","KONÉ","Carine","F","6e-7","6e","Matin"
"EL0372","CISSÉ","Affoué","F","6e-7","6e","Matin"
"EL0373","KASSI","Aboubacar","M","6e-7","6e","Matin"
"EL0374","GNAGNE","Olivier","M","6e-7","6e","Matin"
"EL0375","BAKAYOKO","Carine","F","6e-7","6e","Matin"
"EL0376","COULIBALY","Arnaud","M","6e-7","6e","Matin"
"EL0377","OUATTARA","Yao","M","6e-7","6e","Matin"
"EL0378","DIABATÉ","Yannick","M","6e-7","6e","Matin"
"EL0379","DOUMBIA","Ibrahim","M","6e-7","6e","Matin"
"EL0380","BROU","Carine","F","6e-7","6e","Matin"
"EL0381","TOURÉ","Olivier","M","6e-7","6e","Matin"
"EL0382","BROU","Moussa","M","6e-7","6e","Matin"
"EL0383","SANGARÉ","Hélène","F","6e-7","6e","Matin"
"EL0384","ZADI","Cédric","M","6e-7","6e","Matin"
"EL0385","BAMBA","Guy","M","6e-7","6e","Matin"
"EL0386","BAKAYOKO","Marie","F","6e-7","6e","Matin"
"EL0387","SANGARÉ","Guy","M","6e-7","6e","Matin"
"EL0388","COULIBALY","Yannick","M","6e-7","6e","Matin"
"EL0389","BAKAYOKO","Serge","M","6e-7","6e","Matin"
"EL0390","BROU","Aboubacar","M","6e-7","6e","Matin"
"EL0391","ADJÉ","Rachelle","F","6e-7","6e","Matin"
"EL0392","DIABATÉ","Prisca","F","6e-7","6e","Matin"
"EL0393","KONÉ","Serge","M","6e-7","6e","Matin"
"EL0394","AKA","Fatou","F","6e-7","6e","Matin"
"EL0395","BROU","Daniel","M","6e-7","6e","Matin"
"EL0396","BROU","Mariam","F","6e-7","6e","Matin"
"EL0397","SANGARÉ","Aya","F","6e-7","6e","Matin"
"EL0398","CISSÉ","Hélène","F","6e-7","6e","Matin"
"EL0399","KASSI","Rachelle","F","6e-7","6e","Matin"
"EL0400","KONÉ","Hélène","F","6e-7","6e","Matin"
"EL0401","TRAORÉ","Paul","M","6e-7","6e","Matin"
"EL0402","BAKAYOKO","Olivier","M","6e-7","6e","Matin"
"EL0403","TANOH","Paul","M","6e-7","6e","Matin"
"EL0404","TANOH","Fatou","F","6e-7","6e","Matin"
"EL0405","SANGARÉ","Olivier","M","6e-7","6e","Matin"
"EL0406","CISSÉ","Prisca","F","6e-7","6e","Matin"
"EL0407","KOUASSI","Christelle","F","6e-7","6e","Matin"
"EL0408","DOUMBIA","Olivier","M","6e-7","6e","Matin"
"EL0409","DIABATÉ","Sandrine","F","6e-7","6e","Matin"
"EL0410","BAKAYOKO","Christelle","F","6e-7","6e","Matin"
"EL0411","KONÉ","Moussa","M","6e-8","6e","Matin"
"EL0412","CISSÉ","Sandrine","F","6e-8","6e","Matin"
"EL0413","N'GUESSAN","Adama","M","6e-8","6e","Matin"
"EL0414","FOFANA","Olivier","M","6e-8","6e","Matin"
"EL0415","KASSI","Ibrahim","M","6e-8","6e","Matin"
"EL0416","AKA","Joëlle","F","6e-8","6e","Matin"
"EL0417","ASSI","Guy","M","6e-8","6e","Matin"
"EL0418","ASSI","Thierry","M","6e-8","6e","Matin"
"EL0419","KONÉ","Affoué","F","6e-8","6e","Matin"
"EL0420","DJÉ","Marc","M","6e-8","6e","Matin"
"EL0421","DIABATÉ","Carine","F","6e-8","6e","Matin"
"EL0422","FOFANA","Affoué","F","6e-8","6e","Matin"
"EL0423","KASSI","Carine","F","6e-8","6e","Matin"
"EL0424","KONÉ","Yannick","M","6e-8","6e","Matin"
"EL0425","N'GUESSAN","Adama","M","6e-8","6e","Matin"
"EL0426","COULIBALY","Serge","M","6e-8","6e","Matin"
"EL0427","ADJÉ","Yannick","M","6e-8","6e","Matin"
"EL0428","ASSI","Adama","M","6e-8","6e","Matin"
"EL0429","GNAGNE","Marie","F","6e-8","6e","Matin"
